GROUP,Excellent,Fair,Unacceptable,Unacceptable (biomass?),bad,fair,good
A,2,4,16,1,2,0,3
B,5,4,9,0,3,0,1
C,3,1,5,0,5,0,0
D,2,2,19,0,0,0,2
E,1,2,17,0,0,0,4
F,4,1,7,0,0,1,1
