pii,status
0008-6215(93)80027-C,OK
0008-6215(95)00207-A,OK
0008-6223(66)90080-7,OK
0008-6223(69)90108-0,OK
0008-6223(81)90039-7,OK
0008-6223(91)90176-J,OK
0008-6223(94)00138-P,OK
0008-6223(95)00201-4,OK
0009-2509(79)85108-8,OK
0009-2509(81)80144-3,OK
0009-2509(82)80148-6,OK
0009-2509(85)85049-1,OK
0009-2509(86)85070-9,OK
0009-2509(86)87192-5,OK
0009-2509(88)80027-7,OK
0009-2509(88)85093-0,OK
0009-2509(89)85040-7,OK
0009-2509(89)85076-6,OK
0009-2509(90)80090-2,OK
0009-2509(90)80155-8,OK
0009-2509(90)80164-A,OK
0009-2509(90)85008-2,OK
0009-2509(93)80180-X,OK
0009-2509(94)00129-4,OK
0009-2509(94)00172-3,OK
0009-2509(94)00323-8,OK
0009-2509(94)00324-6,OK
0009-2509(94)00332-7,OK
0009-2509(94)00394-7,OK
0009-2509(94)80043-X,OK
0009-2509(95)00062-A,OK
0009-2509(95)00325-8,OK
0009-2509(95)00326-6,OK
0009-2509(96)00039-5,OK
0009-2509(96)00156-X,OK
0009-2509(96)00172-8,OK
0009-2509(96)00192-3,OK
0009-2541(76)90039-5,OK
0009-2541(95)00125-5,OK
0010-2180(91)90042-A,OK
0010-2180(93)90205-H,OK
0010-2180(94)00143-G,OK
0010-2180(94)90082-5,OK
0010-2180(95)00118-2,OK
0010-2180(95)00248-0,OK
0016-2361(78)90007-8,OK
0016-2361(79)90089-9,OK
0016-2361(80)90017-4,OK
0016-2361(81)90205-2,OK
0016-2361(82)90307-6,OK
0016-2361(85)90055-9,OK
0016-2361(85)90364-3,OK
0016-2361(85)90372-2,OK
0016-2361(86)90234-6,OK
0016-2361(87)90183-9,OK
0016-2361(89)90087-2,OK
0016-2361(89)90273-1,OK
0016-2361(91)90129-X,OK
0016-2361(91)90229-4,OK
0016-2361(91)90241-2,OK
0016-2361(92)90002-6,OK
0016-2361(92)90049-T,OK
0016-2361(92)90056-T,OK
0016-2361(92)90100-3,OK
0016-2361(92)90166-L,OK
0016-2361(92)90214-9,OK
0016-2361(93)90304-K,OK
0016-2361(93)90391-E,OK
0016-2361(94)00010-O,OK
0016-2361(94)90012-4,OK
0016-2361(94)90046-9,OK
0016-2361(94)90055-8,OK
0016-2361(94)90286-0,OK
0016-2361(95)00006-Q,OK
0016-2361(95)00012-T,OK
0016-2361(95)00013-U,OK
0016-2361(95)00105-E,OK
0016-2361(95)00280-4,OK
0016-2361(95)00291-X,OK
0016-2361(95)00293-6,OK
0016-2361(95)93461-L,OK
0016-2361(95)98362-I,OK
0016-2361(96)00030-0,OK
0016-2361(96)00036-1,OK
0016-2361(96)00039-7,OK
0016-2361(96)00072-5,OK
0016-2361(96)00136-6,OK
0016-7037(82)90318-0,OK
