pii,status
0016-7037(89)90028-8,OK
0016-7037(90)90049-Q,OK
0016-7037(94)90271-2,OK
0016-7037(95)00065-8,OK
0020-7381(82)80100-9,OK
0021-9517(83)90130-6,OK
0021-9673(94)01286-N,OK
0021-9673(95)00347-P,OK
0021-9673(95)00700-8,OK
0022-3115(72)90178-X,OK
0022-3115(75)90132-4,OK
0022-3115(94)00663-6,OK
0029-5493(78)90216-9,OK
0029-5493(79)90164-X,OK
0029-5493(89)90061-7,OK
0029-5493(91)90260-O,OK
0029-5493(93)90197-H,OK
0032-3861(96)00340-0,OK
0032-5910(94)02909-8,OK
0038-092X(80)90352-7,OK
0038-092X(85)90005-2,OK
0038-092X(92)90001-Q,OK
0039-6028(83)90240-6,OK
0039-6028(88)90099-4,OK
0039-9140(77)80080-5,OK
0039-9140(77)80081-7,OK
0039-9140(77)80082-9,OK
0039-9140(77)80083-0,OK
0040-1951(92)90124-O,OK
0040-6031(78)85005-9,OK
0040-6031(79)87109-9,OK
0040-6031(84)85029-7,OK
0040-6031(89)85183-4,OK
0040-6031(91)87018-R,OK
0040-6031(94)02419-O,OK
0040-6031(94)80055-3,OK
0040-6031(95)02771-8,OK
0042-207X(92)90045-X,OK
0043-1354(94)90291-7,OK
0045-6535(84)90063-8,OK
0045-6535(96)00038-0,OK
0045-6535(96)00303-7,OK
0048-9697(84)90282-1,OK
0079-6786(91)90002-H,OK
0098-1354(90)87087-6,OK
0141-0229(93)90093-H,OK
0141-3910(94)00096-Q,OK
0141-3910(94)90152-X,OK
0141-3910(95)00197-2,OK
0141-3910(96)00077-8,OK
0141-3910(96)00087-0,OK
0146-3535(84)90088-1,OK
0146-3535(88)90001-9,OK
0146-6380(84)90069-X,OK
0146-6380(84)90115-3,OK
0146-6380(85)90030-0,OK
0146-6380(86)90048-3,OK
0146-6380(88)90287-2,OK
0146-6380(90)90078-E,OK
0146-6380(90)90121-F,OK
0146-6380(94)00114-G,OK
0146-6380(94)90048-5,OK
0146-6380(94)90065-5,OK
0149-1970(95)00080-4,OK
0165-1633(81)90047-2,OK
0165-2370(79)80002-9,OK
0165-2370(80)80005-2,OK
0165-2370(80)80007-6,OK
0165-2370(82)80001-6,OK
0165-2370(84)80029-7,OK
0165-2370(85)80012-7,OK
0165-2370(86)85004-5,OK
0165-2370(87)85003-9,OK
0165-2370(87)85027-1,OK
0165-2370(89)85005-3,OK
0165-2370(91)80002-P,OK
0165-2370(91)80014-Y,OK
0165-2370(91)80034-6,OK
0165-2370(91)80052-A,OK
0165-2370(91)80071-F,OK
0165-2370(91)80080-R,OK
0165-2370(92)80003-5,OK
0165-2370(92)85006-7,OK
0165-2370(92)85028-J,OK
0165-2370(93)00761-B,OK
0165-2370(93)00762-C,OK
0165-2370(93)80012-O,OK
0165-2370(93)80014-Q,OK
0165-2370(93)80018-U,OK
0165-2370(93)80035-X,OK
0165-2370(93)80048-5,OK
0165-2370(94)00798-5,OK
0165-2370(94)00806-X,OK
0165-2370(94)00816-J,OK
0165-2370(94)00830-T,OK
0165-2370(94)00882-2,OK
0165-2370(95)00912-0,OK
0166-3097(86)90019-2,OK
0166-3097(87)90003-4,OK
0167-577X(95)00015-1,OK
0167-899X(84)90038-7,OK
0168-1176(89)83041-1,OK
0169-1368(88)90015-7,OK
0191-815X(84)90045-7,OK
0254-0584(93)90202-W,OK
0300-9467(80)85003-9,OK
0300-9467(89)80048-6,OK
0300-9467(90)80058-K,OK
0301-4215(79)90062-4,OK
0301-9268(81)90025-5,OK
0304-3894(90)87016-B,OK
0304-3894(93)E0048-7,OK
0304-3894(96)01778-5,OK
0304-3967(80)90001-3,OK
0306-2619(94)90020-5,OK
0360-1285(85)90004-8,OK
0360-1285(87)90001-3,OK
0360-1285(91)90010-K,OK
0360-1285(92)90019-W,OK
0360-1285(93)90003-W,OK
0360-1285(93)90010-C,OK
0360-1285(93)90022-7,OK
0360-1285(94)90002-7,OK
0360-1285(95)00004-2,OK
0360-1285(95)00005-3,OK
0360-1285(95)00012-7,OK
0360-3199(93)90102-G,OK
0360-5442(85)90027-1,OK
0360-5442(87)90087-9,OK
0360-5442(88)90011-4,OK
0360-5442(88)90074-6,OK
0360-5442(89)90111-4,OK
0360-5442(94)90097-3,OK
0360-5442(95)00049-M,OK
0361-3658(77)90014-5,OK
0370-1573(92)90013-P,OK
0376-6349(78)90012-3,OK
0376-7388(94)00271-Y,OK
0378-3820(81)90036-9,OK
0378-3820(84)90029-8,OK
0378-3820(84)90048-1,OK
0378-3820(85)90031-1,OK
0378-3820(86)90057-3,OK
0378-3820(87)90031-2,OK
0378-3820(87)90032-4,OK
0378-3820(87)90039-7,OK
0378-3820(87)90066-X,OK
0378-3820(88)90076-8,OK
0378-3820(90)90023-L,OK
0378-3820(90)90057-Y,OK
0378-3820(92)90038-R,OK
0378-3820(93)90049-A,OK
0378-3820(93)90069-G,OK
0378-3820(94)00086-9,OK
0378-3820(94)00109-7,OK
0378-3820(94)00123-B,OK
0378-3820(94)90055-8,OK
0378-3820(95)00057-7,OK
0378-3820(96)01002-8,OK
0378-3820(96)01009-0,OK
0379-0738(84)90014-8,OK
0379-0738(87)90098-3,OK
0379-0738(88)90209-5,OK
0379-7112(77)90007-8,OK
0734-9750(95)02007-P,OK
0895-7177(91)90013-W,OK
0895-7177(93)90128-L,OK
0896-8446(89)90008-9,OK
0896-8446(91)90003-O,OK
0896-8446(93)90025-S,OK
0920-3796(95)90113-2,OK
0920-5861(87)80041-X,OK
0920-5861(93)80003-J,OK
0920-5861(93)80004-K,OK
0920-5861(93)80005-L,OK
0920-5861(93)80006-M,OK
0920-5861(93)80007-N,OK
0920-5861(93)80008-O,OK
0920-5861(93)80009-P,OK
0920-5861(93)80015-S,OK
0920-5861(93)80016-T,OK
0920-5861(93)80018-V,OK
0920-5861(93)80019-W,OK
0920-5861(93)80021-R,OK
0920-5861(93)80022-S,OK
0920-5861(93)80023-T,OK
0920-5861(93)80024-U,OK
0920-5861(93)80102-7,OK
0920-5861(94)80160-6,OK
0921-3449(91)90013-E,OK
0921-3449(94)90005-1,OK
0921-4534(94)90357-3,OK
0926-860X(93)80041-N,OK
0926-860X(96)00093-2,OK
0926-860X(96)00139-1,OK
0927-0248(95)00150-6,OK
0927-6513(94)00002-6,OK
0960-0779(93)90037-2,OK
0960-1481(94)90058-2,OK
0960-1686(90)90108-Y,OK
0960-8524(92)90025-S,OK
0960-8524(93)90185-E,OK
0960-8524(94)90022-1,OK
0960-8524(95)00005-Y,OK
0960-8524(95)00056-K,OK
0961-9534(91)90003-U,OK
0961-9534(92)90017-K,OK
0961-9534(94)00042-R,OK
0961-9534(94)00045-U,OK
0961-9534(94)00067-4,OK
0961-9534(94)00071-Z,OK
0961-9534(96)00025-6,OK
1352-2310(95)98124-Q,OK
S0001-8686(00)00040-3,OK
S0001-8686(19)30481-6,OK
S0001-8686(21)00179-2,OK
S0001-8686(22)00042-2,OK
S0001-8686(22)00171-3,OK
S0001-8686(23)00122-7,OK
S0001-8686(24)00223-9,OK
S0001-8686(24)00237-9,OK
S0001-8686(24)00240-9,OK
S0001-8686(24)00243-4,OK
S0001-8686(25)00119-8,OK
S0001-8686(25)00132-0,OK
S0001-8686(25)00143-5,OK
S0003-2670(03)00354-4,OK
S0003-2670(04)00292-2,OK
S0003-2670(09)01092-7,OK
S0003-2670(15)00434-1,OK
S0003-2670(15)01162-9,OK
S0003-2670(16)30549-9,OK
S0003-2670(16)31491-X,OK
S0003-2670(18)30912-7,OK
S0003-2670(21)00622-X,OK
S0003-2670(23)00959-5,OK
S0003-2670(24)00145-4,OK
S0003-2670(24)00308-8,OK
S0003-2670(24)00747-5,OK
S0003-2670(24)00989-9,OK
S0007-8506(09)00168-1,OK
S0007-8506(11)00207-1,OK
S0007-8506(12)00204-1,OK
S0007-8506(18)30156-2,OK
S0007-8506(24)00122-7,OK
S0008-6223(02)00008-8,OK
S0008-6223(08)00448-X,OK
S0008-6223(08)00534-4,OK
S0008-6223(10)00500-2,OK
S0008-6223(11)00215-6,OK
S0008-6223(11)00269-7,OK
S0008-6223(13)00665-9,OK
S0008-6223(13)01106-8,OK
S0008-6223(14)00087-6,OK
S0008-6223(15)30052-X,OK
S0008-6223(15)30252-9,OK
S0008-6223(16)30041-0,OK
S0008-6223(16)30695-9,OK
S0008-6223(16)30760-6,OK
S0008-6223(17)30368-8,OK
S0008-6223(18)30659-6,OK
S0008-6223(18)30943-6,OK
S0008-6223(18)31032-7,OK
S0008-6223(18)31254-5,OK
S0008-6223(19)30559-7,OK
S0008-6223(19)30732-8,OK
S0008-6223(19)30751-1,OK
S0008-6223(20)30008-7,OK
S0008-6223(20)30204-9,OK
S0008-6223(20)30206-2,OK
S0008-6223(20)30456-5,OK
S0008-6223(20)30555-8,OK
S0008-6223(21)00118-4,OK
S0008-6223(21)00296-7,OK
S0008-6223(21)00862-9,OK
S0008-6223(22)00598-X,OK
S0008-6223(22)00711-4,OK
S0008-6223(22)00858-2,OK
S0008-6223(23)00035-0,OK
S0008-6223(23)00177-X,OK
S0008-6223(23)00269-5,OK
S0008-6223(23)00311-1,OK
S0008-6223(23)00518-3,OK
S0008-6223(23)00692-9,OK
S0008-6223(23)00866-7,OK
S0008-6223(23)00992-2,OK
S0008-6223(24)00263-X,OK
S0008-6223(24)00273-2,OK
S0008-6223(24)00321-X,OK
S0008-6223(24)00440-8,OK
S0008-6223(24)00510-4,OK
S0008-6223(24)00745-0,OK
S0008-6223(24)00846-7,OK
S0008-6223(24)00977-1,OK
S0008-6223(24)01085-6,OK
S0008-6223(24)01188-6,OK
S0008-6223(25)00004-1,OK
S0008-6223(25)00635-9,OK
S0008-6223(25)00676-1,OK
S0008-6223(25)00710-9,OK
S0008-6223(25)00796-1,OK
S0008-6223(25)00831-0,OK
S0008-6223(25)00848-6,OK
S0008-6223(25)00974-1,OK
S0008-6223(96)00136-4,OK
S0008-8846(19)30092-4,OK
S0008-8846(24)00051-6,OK
S0009-2509(01)00084-7,OK
S0009-2509(01)00319-0,OK
S0009-2509(04)00628-1,OK
S0009-2509(05)80043-0,OK
S0009-2509(07)00226-6,OK
S0009-2509(07)00597-0,OK
S0009-2509(07)00859-7,OK
S0009-2509(09)00196-1,OK
S0009-2509(09)00626-5,OK
S0009-2509(10)00278-2,OK
S0009-2509(11)00176-X,OK
S0009-2509(11)00677-4,OK
S0009-2509(12)00071-1,OK
S0009-2509(12)00371-5,OK
S0009-2509(12)00518-0,OK
S0009-2509(12)00735-X,OK
S0009-2509(13)00760-4,OK
S0009-2509(13)00771-9,OK
S0009-2509(13)00833-6,OK
S0009-2509(14)00228-0,OK
S0009-2509(14)00270-X,OK
S0009-2509(14)00437-0,OK
S0009-2509(14)00455-2,OK
S0009-2509(16)30098-7,OK
S0009-2509(16)30144-0,OK
S0009-2509(16)30681-9,OK
S0009-2509(17)30327-5,OK
S0009-2509(17)30505-5,OK
S0009-2509(17)30506-7,OK
S0009-2509(17)30576-6,OK
S0009-2509(17)30607-3,OK
S0009-2509(18)30160-X,OK
S0009-2509(18)30728-0,OK
S0009-2509(19)30449-X,OK
S0009-2509(19)30721-3,OK
S0009-2509(20)30502-9,OK
S0009-2509(20)30620-5,OK
S0009-2509(20)30838-1,OK
S0009-2509(20)30921-0,OK
S0009-2509(21)00076-2,OK
S0009-2509(21)00138-X,OK
S0009-2509(21)00657-6,OK
S0009-2509(21)00702-8,OK
S0009-2509(22)00506-1,OK
S0009-2509(22)00730-8,OK
S0009-2509(22)00900-9,OK
S0009-2509(22)00921-6,OK
S0009-2509(22)01022-3,OK
S0009-2509(23)00125-2,OK
S0009-2509(23)00226-9,OK
S0009-2509(23)00472-4,OK
S0009-2509(23)01022-9,OK
S0009-2509(24)00072-1,OK
S0009-2509(24)00100-3,OK
S0009-2509(24)00481-0,OK
S0009-2509(24)00645-6,OK
S0009-2509(24)00708-5,OK
S0009-2509(24)00790-5,OK
S0009-2509(24)00883-2,OK
S0009-2509(24)00884-4,OK
S0009-2509(24)00903-5,OK
S0009-2509(24)00992-8,OK
S0009-2509(24)01104-7,OK
S0009-2509(24)01180-1,OK
S0009-2509(24)01340-X,OK
S0009-2509(24)01400-3,OK
S0009-2509(25)00160-5,OK
S0009-2509(25)00164-2,OK
S0009-2509(25)00210-6,OK
S0009-2509(25)00212-X,OK
S0009-2509(25)00286-6,OK
S0009-2509(25)00299-4,OK
S0009-2509(25)00372-0,OK
S0009-2509(25)00394-X,OK
S0009-2509(25)00432-4,OK
S0009-2509(25)00477-4,OK
S0009-2509(25)00497-X,OK
S0009-2509(25)00579-2,OK
S0009-2509(25)00603-7,OK
S0009-2509(25)00700-6,OK
S0009-2509(25)00737-7,OK
S0009-2509(25)00745-6,OK
S0009-2509(25)00774-2,OK
S0009-2509(25)00885-1,OK
S0009-2509(25)00890-5,OK
S0009-2509(25)00943-1,OK
S0009-2509(25)01260-6,OK
S0009-2509(25)01354-5,OK
S0009-2509(25)01377-6,OK
S0009-2509(25)01425-3,OK
S0009-2509(25)01452-6,OK
S0009-2509(25)01742-7,OK
S0009-2509(25)01775-0,OK
S0009-2509(25)01799-3,OK
S0009-2509(97)00091-2,OK
S0009-2509(99)00533-3,OK
S0009-2614(04)01167-4,OK
S0009-2614(21)00133-0,OK
S0009-2614(22)00608-X,OK
S0009-2819(24)00131-4,OK
S0010-2180(01)00281-4,OK
S0010-2180(05)00254-3,OK
S0010-2180(10)00300-7,OK
S0010-2180(10)00346-9,OK
S0010-2180(12)00057-0,OK
S0010-2180(13)00063-1,OK
S0010-2180(13)00154-5,OK
S0010-2180(13)00167-3,OK
S0010-2180(14)00050-9,OK
S0010-2180(14)00123-0,OK
S0010-2180(14)00231-4,OK
S0010-2180(14)00244-2,OK
S0010-2180(14)00373-3,OK
S0010-2180(14)00402-7,OK
S0010-2180(15)00018-8,OK
S0010-2180(15)00102-9,OK
S0010-2180(15)00310-7,OK
S0010-2180(15)00410-1,OK
S0010-2180(16)30187-0,OK
S0010-2180(16)30215-2,OK
S0010-2180(16)30357-1,OK
S0010-2180(17)30037-8,OK
S0010-2180(17)30451-0,OK
S0010-2180(20)30301-1,OK
S0010-2180(20)30458-2,OK
S0010-2180(20)30546-0,OK
S0010-2180(21)00133-4,OK
S0010-2180(21)00279-0,OK
S0010-2180(21)00303-5,OK
S0010-2180(21)00321-7,OK
S0010-2180(21)00437-5,OK
S0010-2180(21)00643-X,OK
S0010-2180(22)00025-6,OK
S0010-2180(22)00185-7,OK
S0010-2180(22)00221-8,OK
S0010-2180(22)00373-X,OK
S0010-2180(22)00398-4,OK
S0010-2180(22)00402-3,OK
S0010-2180(23)00123-2,OK
S0010-2180(23)00157-8,OK
S0010-2180(23)00290-0,OK
S0010-2180(23)00291-2,OK
S0010-2180(23)00510-2,OK
S0010-2180(24)00189-5,OK
S0010-2180(24)00402-4,OK
S0010-2180(24)00462-0,OK
S0010-2180(24)00483-8,OK
S0010-2180(24)00503-0,OK
S0010-2180(25)00040-9,OK
S0010-2180(25)00077-X,OK
S0010-2180(25)00319-0,OK
S0010-2180(25)00382-7,OK
S0010-2180(25)00401-8,OK
S0010-8545(03)00104-8,OK
S0010-8545(12)00292-5,OK
S0010-8545(15)00212-X,OK
S0010-8545(15)30040-0,OK
S0010-8545(15)30051-5,OK
S0010-8545(16)30295-8,OK
S0010-8545(17)30024-3,OK
S0010-8545(17)30345-4,OK
S0010-8545(18)30325-4,OK
S0010-8545(18)30575-7,OK
S0010-8545(18)30631-3,OK
S0010-8545(19)30359-5,OK
S0010-8545(19)30477-1,OK
S0010-8545(20)30116-8,OK
S0010-8545(20)30221-6,OK
S0010-8545(20)30381-7,OK
S0010-8545(20)30717-7,OK
S0010-8545(20)31185-1,OK
S0010-8545(21)00085-0,OK
S0010-8545(21)00256-3,OK
S0010-8545(21)00483-5,OK
S0010-8545(22)00017-0,OK
S0010-8545(22)00115-1,OK
S0010-8545(22)00171-0,OK
S0010-8545(22)00195-3,OK
S0010-8545(22)00291-0,OK
S0010-8545(22)00303-4,OK
S0010-8545(22)00389-7,OK
S0010-8545(22)00576-8,OK
S0010-8545(22)00581-1,OK
S0010-8545(23)00044-9,OK
S0010-8545(23)00148-0,OK
S0010-8545(23)00261-8,OK
S0010-8545(23)00457-5,OK
S0010-8545(23)00459-9,OK
S0010-8545(23)00592-1,OK
S0010-8545(23)00602-1,OK
S0010-8545(23)00611-2,OK
S0010-8545(24)00039-0,OK
S0010-8545(24)00306-0,OK
S0010-8545(24)00320-5,OK
S0010-8545(24)00443-0,OK
S0010-8545(24)00449-1,OK
S0010-8545(24)00452-1,OK
S0010-8545(24)00471-5,OK
S0010-8545(24)00542-3,OK
S0010-8545(24)00596-4,OK
S0010-8545(24)00669-6,OK
S0010-8545(24)00699-4,OK
S0010-8545(24)00745-8,OK
S0010-8545(24)00767-7,OK
S0010-8545(25)00037-2,OK
S0010-8545(25)00104-3,OK
S0010-8545(25)00293-0,OK
S0010-8545(25)00295-4,OK
S0010-8545(25)00377-7,OK
S0010-8545(25)00392-3,OK
S0010-8545(25)00434-5,OK
S0010-8545(25)00441-2,OK
S0010-8545(25)00531-4,OK
S0010-8545(25)00588-0,OK
S0010-8545(25)00611-3,OK
S0010-8545(25)00615-0,OK
S0010-8545(25)00666-6,OK
S0010-8545(25)00674-5,OK
S0010-8545(25)00731-3,OK
S0010-8545(25)00807-0,OK
S0010-8545(25)00915-4,OK
S0010-8545(25)00949-X,OK
S0010-938X(24)00151-3,OK
S0010-938X(24)00677-2,OK
S0010-938X(25)00357-9,OK
S0011-9164(23)00513-1,OK
S0011-9164(24)00903-2,OK
S0011-9164(25)00611-3,OK
S0011-9164(25)01075-6,OK
S0012-8252(22)00008-3,OK
S0013-4686(05)01035-2,OK
S0013-4686(16)31300-7,OK
S0013-4686(16)31409-8,OK
S0013-4686(17)32461-1,OK
S0013-4686(18)30792-8,OK
S0013-4686(18)31727-4,OK
S0013-4686(20)31593-0,OK
S0013-4686(20)32035-1,OK
S0013-4686(21)00971-3,OK
S0013-4686(24)00817-X,OK
S0013-4686(24)01279-9,OK
S0013-4686(25)01493-8,OK
S0013-9351(20)30345-5,OK
S0013-9351(21)01283-4,OK
S0013-9351(21)01339-6,OK
S0013-9351(21)01435-3,OK
S0013-9351(21)01480-8,OK
S0013-9351(21)01682-0,OK
S0013-9351(21)01764-3,OK
S0013-9351(22)00067-6,OK
S0013-9351(22)00120-7,OK
S0013-9351(22)01614-0,OK
S0013-9351(22)01705-4,OK
S0013-9351(22)01806-0,OK
S0013-9351(22)02104-1,OK
S0013-9351(23)00200-1,OK
S0013-9351(23)00350-X,OK
S0013-9351(23)00452-8,OK
S0013-9351(23)01473-1,OK
S0013-9351(23)01589-X,OK
S0013-9351(23)01809-1,OK
S0013-9351(23)02015-7,OK
S0013-9351(23)02322-8,OK
S0013-9351(23)02418-0,OK
S0013-9351(23)02520-3,OK
S0013-9351(24)00058-6,OK
S0013-9351(24)00073-2,OK
S0013-9351(24)00148-8,OK
S0013-9351(24)00186-5,OK
S0013-9351(24)00462-6,OK
S0013-9351(24)00547-4,OK
S0013-9351(24)00738-2,OK
S0013-9351(24)01286-6,OK
S0013-9351(24)01386-0,OK
S0013-9351(24)01438-5,OK
S0013-9351(24)01492-0,OK
S0013-9351(24)01493-2,OK
S0013-9351(24)02047-4,OK
S0013-9351(24)02297-7,OK
S0013-9351(24)02395-8,OK
S0013-9351(25)00153-7,OK
S0013-9351(25)00427-X,OK
S0013-9351(25)00716-9,OK
S0013-9351(25)01045-X,OK
S0013-9351(25)01087-4,OK
S0013-9351(25)01501-4,OK
S0013-9351(25)01568-3,OK
S0013-9351(25)01815-8,OK
S0013-9351(25)01824-9,OK
S0013-9351(25)02054-7,OK
S0013-9351(25)02134-6,OK
S0013-9351(25)02138-3,OK
S0013-9351(25)02484-3,OK
S0013-9351(25)02486-7,OK
S0014-3057(07)00139-5,OK
S0014-3057(08)00529-6,OK
S0014-3057(13)00548-X,OK
S0014-3057(14)00283-3,OK
S0014-3057(15)00277-3,OK
S0014-3057(15)30088-4,OK
S0014-3057(16)30681-4,OK
S0014-3057(16)31404-5,OK
S0014-3057(17)30234-3,OK
S0014-3057(18)31762-2,OK
S0014-3057(18)32438-8,OK
S0014-3057(19)31924-X,OK
S0014-3057(20)30365-7,OK
S0014-3057(20)30900-9,OK
S0014-3057(20)31704-3,OK
S0014-3057(21)00443-2,OK
S0014-3057(21)00637-6,OK
S0014-3057(22)00381-0,OK
S0014-3057(22)00509-2,OK
S0014-3057(22)00797-2,OK
S0014-3057(23)00259-8,OK
S0014-3057(23)00481-0,OK
S0014-3057(23)00554-2,OK
S0014-3057(24)00096-X,OK
S0014-3057(24)00106-X,OK
S0014-3057(24)00343-4,OK
S0014-3057(24)00487-7,OK
S0014-3057(24)00510-X,OK
S0014-3057(24)00549-4,OK
S0014-3057(24)00690-6,OK
S0014-3057(24)00704-3,OK
S0014-3057(24)00882-6,OK
S0014-3057(25)00035-7,OK
S0014-3057(25)00107-7,OK
S0014-3057(25)00132-6,OK
S0014-3057(25)00321-0,OK
S0014-3057(25)00417-3,OK
S0014-3057(25)00421-5,OK
S0014-3057(25)00679-2,OK
S0016-2361(01)00056-4,OK
S0016-2361(01)00067-9,OK
S0016-2361(02)00109-6,OK
S0016-2361(02)00250-8,OK
S0016-2361(03)00404-6,OK
S0016-2361(04)00224-8,OK
S0016-2361(05)00057-8,OK
S0016-2361(05)00111-0,OK
S0016-2361(05)00223-1,OK
S0016-2361(06)00154-2,OK
S0016-2361(06)00314-0,OK
S0016-2361(06)00448-0,OK
S0016-2361(07)00341-9,OK
S0016-2361(07)00544-3,OK
S0016-2361(08)00050-1,OK
S0016-2361(08)00084-7,OK
S0016-2361(08)00146-4,OK
S0016-2361(08)00157-9,OK
S0016-2361(08)00428-6,OK
S0016-2361(09)00012-X,OK
S0016-2361(09)00066-0,OK
S0016-2361(09)00420-7,OK
S0016-2361(10)00037-2,OK
S0016-2361(10)00185-7,OK
S0016-2361(10)00315-7,OK
S0016-2361(11)00059-7,OK
S0016-2361(11)00061-5,OK
S0016-2361(11)00091-3,OK
S0016-2361(11)00231-6,OK
S0016-2361(11)00535-7,OK
S0016-2361(11)00538-2,OK
S0016-2361(11)00743-5,OK
S0016-2361(12)00068-3,OK
S0016-2361(12)00203-7,OK
S0016-2361(12)00350-X,OK
S0016-2361(12)00353-5,OK
S0016-2361(12)00367-5,OK
S0016-2361(12)00544-3,OK
S0016-2361(12)00710-7,OK
S0016-2361(12)00752-1,OK
S0016-2361(12)00961-1,OK
S0016-2361(12)01005-8,OK
S0016-2361(12)01036-8,OK
S0016-2361(12)01050-2,OK
S0016-2361(12)01073-3,OK
S0016-2361(12)01081-2,OK
S0016-2361(13)00077-X,OK
S0016-2361(13)00101-4,OK
S0016-2361(13)00199-3,OK
S0016-2361(13)00210-X,OK
S0016-2361(13)00355-4,OK
S0016-2361(13)00652-2,OK
S0016-2361(13)00657-1,OK
S0016-2361(13)00664-9,OK
S0016-2361(13)00743-6,OK
S0016-2361(13)00765-5,OK
S0016-2361(13)00830-2,OK
S0016-2361(13)00887-9,OK
S0016-2361(13)01067-3,OK
S0016-2361(13)01106-X,OK
S0016-2361(14)00039-8,OK
S0016-2361(14)00146-X,OK
S0016-2361(14)00174-4,OK
S0016-2361(14)00217-8,OK
S0016-2361(14)00218-X,OK
S0016-2361(14)00425-6,OK
S0016-2361(14)00475-X,OK
S0016-2361(14)00727-3,OK
S0016-2361(14)00770-4,OK
S0016-2361(14)00907-7,OK
S0016-2361(14)00947-8,OK
S0016-2361(14)01074-6,OK
S0016-2361(14)01222-8,OK
S0016-2361(14)01240-X,OK
S0016-2361(14)01247-2,OK
S0016-2361(15)00011-3,OK
S0016-2361(15)00186-6,OK
S0016-2361(15)00207-0,OK
S0016-2361(15)00224-0,OK
S0016-2361(15)00248-3,OK
S0016-2361(15)00287-2,OK
S0016-2361(15)00384-1,OK
S0016-2361(15)00431-7,OK
S0016-2361(15)00734-6,OK
S0016-2361(15)00788-7,OK
S0016-2361(15)00949-7,OK
S0016-2361(15)01114-X,OK
S0016-2361(15)01209-0,OK
S0016-2361(15)01312-5,OK
S0016-2361(16)00063-6,OK
S0016-2361(16)00096-X,OK
S0016-2361(16)00107-1,OK
S0016-2361(16)30001-1,OK
S0016-2361(16)30038-2,OK
S0016-2361(16)30063-1,OK
S0016-2361(16)30075-8,OK
S0016-2361(16)30104-1,OK
S0016-2361(16)30128-4,OK
S0016-2361(16)30267-8,OK
S0016-2361(16)30748-7,OK
S0016-2361(16)30803-1,OK
S0016-2361(16)31047-X,OK
S0016-2361(16)31070-5,OK
S0016-2361(16)31229-7,OK
S0016-2361(17)30160-6,OK
S0016-2361(17)30172-2,OK
S0016-2361(17)30191-6,OK
S0016-2361(17)30208-9,OK
S0016-2361(17)30554-9,OK
S0016-2361(17)30555-0,OK
S0016-2361(17)30575-6,OK
