flag,count
NO_OIL_INFO,803
OIL_NOT_MAIN_PRODUCT,597
CO_PYROLYSIS,540
HAS_OIL_YIELD_DATA,325
HAS_OIL_COMPOSITION,311
TARGET_HYDROGEN,310
SINGLE_PLASTIC,275
GENERAL_CATALYST,263
TARGET_AROMATICS,241
CATALYST_MECHANISM_FOCUS,136
TARGET_CNT,127
NO_EXTRACTABLE_DATA,113
NO_LAB_EXPERIMENT,49
NO_PYROLYSIS,41
DEFINED_PLASTIC_MIX,39
EXOTIC_CATALYST,8
NO_OIL_COMPOSITION,3
TARGET_OIL_STABILITY,1
TARGET_FUEL_RANGE,1
SINGLE_PLASTIC_MIX,1
TARGET_CHAR,1
