flag,count
HAS_OIL_YIELD_DATA,320
HAS_OIL_COMPOSITION,311
SINGLE_PLASTIC,275
GENERAL_CATALYST,260
DEFINED_PLASTIC_MIX,39
SINGLE_PLASTIC_MIX,1
