flag,count
NO_OIL_INFO,803
OIL_NOT_MAIN_PRODUCT,597
CO_PYROLYSIS,540
TARGET_HYDROGEN,310
TARGET_AROMATICS,241
CATALYST_MECHANISM_FOCUS,136
TARGET_CNT,127
NO_EXTRACTABLE_DATA,113
NO_LAB_EXPERIMENT,49
NO_PYROLYSIS,41
EXOTIC_CATALYST,8
HAS_OIL_YIELD_DATA,5
NO_OIL_COMPOSITION,3
GENERAL_CATALYST,3
TARGET_OIL_STABILITY,1
TARGET_FUEL_RANGE,1
TARGET_CHAR,1
